	Description	Secretion	SignalP	RNA binding domain	Diff exp	S4TE;promotor_motif	S4TE;homology	S4TE;Eukaryotic_domains	S4TE;Prokaryotic_domains	S4TE;Nuclear_localization_signal	S4TE;Prenylation	S4TE;Coiled_coils	S4TE;C_basicity	S4TE;C_charge	S4TE;C_hidrofilnost	S4TE;hidrofilnost	S4TE;E-block	S4TE Score	CatRapid mean	CatRapid max	CatRapid max (STAR, all)	CatRapid mean (STAR, all)	CatRapid max (Z-score, all)	CatRapid mean (Z-score, all)	CatRapid count Z-score > 2 (all)
CP003496.1_prot_D7S_00031_30	oxaloacetate decarboxylase gamma chain 3	0.0	0.09	0.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	3.0	0.3882711004649852	4.23	0.07	0.03584622961377455	5.92	0.3451339192696002	27970
CP003496.1_prot_D7S_00032_31	hypothetical protein	0.0	0.126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	3.0	0.4589488516274482	4.5649999999999995	0.15	0.06638493739700341	6.32	0.4173598772564545	30721
CP003496.1_prot_D7S_00033_32	hydrogenase assembly chaperone HypC/HupF	0.0	0.129	0.0	3.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.6116873326757785	4.985	0.16	0.07606093610895386	7.08	0.5570245108252988	37870
CP003496.1_prot_D7S_00034_33	hydrogenase-2 operon protein HybE	0.0	0.233	0.5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	4.0	0.16209736508383824	3.005	0.59	0.5376203284526359	4.85	0.13168071524633948	14648
CP003496.1_prot_D7S_00035_34	tryptophan biosynthesis protein trpCF	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	-0.09387980836973368	3.98	0.32	0.14022976530979486	6.37	-0.11869831227624873	10305
CP003496.1_prot_D7S_00036_35	plasmid maintenance system antidote protein, XRE family	0.0	0.12	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6422072706777512	5.13	1.5	1.0165934877730003	6.87	0.5807415755876726	38941
CP003496.1_prot_D7S_00037_36	plasmid maintenance system killer	0.0	0.133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.5370762293927012	5.0	0.19	0.09019358627090715	6.79	0.4891252628189343	34859
CP003496.1_prot_D7S_00038_37	anthranilate phosphoribosyltransferase	0.0	0.119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.19946244892207976	4.36	0.31	0.13641088780709562	5.84	0.15775765726516772	20234
CP003496.1_prot_D7S_00039_38	anthranilate phosphoribosyltransferase	0.0	0.176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.36705650274763985	4.66	0.08	0.03622288939821568	6.52	0.33555007292633493	26199
CP003496.1_prot_D7S_00040_39	anthranilate synthase component II	0.0	0.116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.048958010426940965	3.81	0.08	0.039014263254598155	5.45	0.03543888394294698	11159
CP003496.1_prot_D7S_00041_40	anthranilate synthase component I	0.0	0.142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	0.2269430745385374	5.88	0.09	0.05365313583240205	5.99	0.16585011270433578	24805
CP003496.1_prot_D7S_00042_41	3-deoxy-manno-octulosonate-8-phosphatase	0.0	0.102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.45272439058757225	4.66	0.18	0.08876735552061826	7.4	0.4196832913454435	30863
CP003496.1_prot_D7S_00043_42	arabinose 5-phosphate isomerase	0.0	0.098	0.0	-3.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.3106897280541074	4.46	0.17	0.07864877919421136	5.33	0.2633958100505749	24081
CP003496.1_prot_D7S_00044_43	heat shock protein HtpX	0.0	0.176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	-0.0035205016204029856	3.41	0.12	0.05526026177712957	5.16	-0.023359062754531847	10217
CP003496.1_prot_D7S_00045_44	phenylalanyl-tRNA synthetase, alpha subunit	0.0	0.092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	3.0	0.3840193039312385	4.79	0.22	0.0949552971037827	7.29	0.3457801223647074	29342
CP003496.1_prot_D7S_00046_45	phenylalanyl-tRNA synthetase, beta subunit	0.0	0.13	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.48095603776243484	4.445	2.0	1.471398291440153	6.2	0.4360407629799406	31709
CP003496.1_prot_D7S_00047_46	integration host factor subunit alpha	1.0	0.099	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	4.0	0.5596914189093983	5.155	2.0	1.4875470232796015	6.88	0.5102201996476806	35651
CP003496.1_prot_D7S_00048_47	lipoprotein	0.0	0.108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	3.0	0.21977666619698466	3.44	0.19	0.08307834371981135	5.41	0.19380988009774022	17466
CP003496.1_prot_D7S_00049_48	putative FHA domain protein	0.0	0.113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.3927687755389601	4.095	0.06	0.029887958630879098	5.58	0.3471550205519671	26875
CP003496.1_prot_D7S_00050_49	TolC protein	1.0	0.482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	3.0	-0.1810560800338171	3.74	0.5	0.20319066921750994	6.5	-0.2065108063569034	8520
CP003496.1_prot_D7S_00051_50	ABC-2 type transporter	0.0	0.158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	-0.13972946315344512	3.91	0.09	0.0392607921504745	6.09	-0.14384217604606672	8612
CP003496.1_prot_D7S_00053_52	AcrA protein	0.0	0.213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0	-0.08270818655770044	3.82	0.4	0.1845201068323452	5.21	-0.10180184872994526	9160
CP003496.1_prot_D7S_00054_53	AcrR protein	0.0	0.223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.1194497675073975	4.26	0.12	0.057954558369480824	6.92	0.10816301403595176	15389
CP003496.1_prot_D7S_00055_54	aspartate aminotransferase	0.0	0.116	0.0	-5.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	4.0	0.4552973087219952	4.38	0.48	0.229420567120641	7.56	0.41345263576610536	32572
CP003496.1_prot_D7S_00057_56	dihydroorotate oxidase	0.0	0.182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.12621812033253488	3.49	0.55	0.2550323906578523	4.85	0.08840215558880912	15416
CP003496.1_prot_D7S_00058_57	fumarate hydratase	0.0	0.101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.25904959842186837	4.63	0.3	0.14125205993218795	6.39	0.23197601954804611	21424
CP003496.1_prot_D7S_00060_59	universal stress protein UspE	1.0	0.708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	3.0	0.18707482034662534	4.18	0.23	0.10602399939385904	6.44	0.16584386187562747	18960
CP003496.1_prot_D7S_00061_60	UspA protein	0.0	0.127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.4628378187966747	4.69	0.11	0.049957286003826276	6.97	0.4182055386130737	31925
CP003496.1_prot_D7S_00062_61	transcriptional activator protein anr	0.0	0.123	0.5	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	-0.21515076793011131	5.39	1.5	0.9451417801602489	7.53	-0.19816774951224594	8613
CP003496.1_prot_D7S_00063_62	hypothetical protein	0.0	0.167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.3969318021699309	3.675	0.08	0.03780747447578278	5.37	0.3466186805068855	26992
CP003496.1_prot_D7S_00064_63	ferritin like protein-2	1.0	0.129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.326793011131464	5.56	0.04	0.019786903566760747	8.47	0.31098431610251354	26041
CP003496.1_prot_D7S_00065_64	nonheme iron-containing ferritin	0.0	0.113	0.0	2.63	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	0.47712836409750603	5.67	0.07	0.029405224177447772	8.92	0.45145833727956364	32937
CP003496.1_prot_D7S_00066_65	exodeoxyribonuclease I	0.0	0.101	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	3.0	-0.37590249401155423	3.19	2.0	1.460755876726081	5.66	-0.3970527342640122	3838
CP003496.1_prot_D7S_00067_66	cell division protein MukB	0.0	0.182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011914893617021277	3.4	0.12	0.055307900668649275	5.37	-0.009926694826965697	10031
CP003496.1_prot_D7S_00069_68	condesin subunit E	0.0	0.139	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	5.0	0.09161406227983654	5.85	0.06	0.026954331066618688	8.61	0.08457475422878033	18090
CP003496.1_prot_D7S_00072_71	chromosome partition protein MukF	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	-0.4313872058616317	3.61	0.13	0.059246680431117776	5.73	-0.4305533877597409	5527
CP003496.1_prot_D7S_00073_72	DacC protein	0.0	0.507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010515006340707341	3.12	0.23	0.11634478055802855	4.1	-0.018539389691815202	9084
CP003496.1_prot_D7S_00074_73	lipoprotein HlpB	1.0	0.577	0.5	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	3.0	0.2461180780611526	4.21	0.61	0.5515086280378082	6.43	0.2164798363419393	21343
CP003496.1_prot_D7S_00075_74	50S ribosomal protein L25	0.0	0.126	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	3.0	0.4478202057207271	4.43	2.0	1.4551648892845641	6.48	0.40870702555263	30626
CP003496.1_prot_D7S_00076_75	cobalt transport protein CbiM	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	3.0	-0.00643299985909539	3.21	0.18	0.08603233383213685	5.1	-0.019674956907165718	9344
CP003496.1_prot_D7S_00078_77	starch synthase	0.0	0.208	0.0	2.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	-0.3026483020994786	2.74	0.53	0.24483264826776283	4.77	-0.32020788740931566	4269
CP003496.1_prot_D7S_00079_78	glucose-1-phosphate adenylyltransferase	0.0	0.16	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	-0.8511089192616598	1.94	0.72	0.39155920292463015	3.89	-0.8409516413160837	718
CP003496.1_prot_D7S_00080_79	glycogen debranching enzyme GlgX	0.0	0.116	0.0	4.42	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	6.0	0.015467098774129913	7.44	0.78	0.3795182126418275	8.85	-0.04139715492584244	20500
CP003496.1_prot_D7S_00081_80	1,4-alpha-glucan branching enzyme	0.0	0.097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	3.0	0.10209172889953502	10.13	0.84	0.4300807872255792	10.13	0.027085409050442284	26457
CP003496.1_prot_D7S_00082_81	4-alpha-glucanotransferase	0.0	0.097	0.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.15833662110751023	3.58	0.05	0.02288381035364537	5.92	0.1393125035516072	16409
CP003496.1_prot_D7S_00083_82	hypothetical protein	0.0	0.624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.044060870790474854	4.73	0.14	0.06454179531377267	7.43	0.034319417346996756	14205
CP003496.1_prot_D7S_00085_83	glycoside hydrolase, family 19, putative	0.0	0.102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	3.0	-0.014401155417782158	3.91	0.51	0.23186663004565003	6.51	-0.04685933741215692	11701
CP003496.1_prot_D7S_00086_84	ABC transporter ATP-binding protein uup	0.0	0.163	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	4.0	0.10999436381569679	7.12	0.83	0.3984502680279583	10.19	0.046400375049722505	22888
CP003496.1_prot_D7S_00088_86	addiction module killer protein	0.0	0.108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.5951761307594758	4.95	0.28	0.1393413899570019	6.63	0.5419050821131589	36913
CP003496.1_prot_D7S_00089_87	putative transcriptional regulator	0.0	0.114	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.6422847682119205	5.575	1.5	0.988023033356695	7.47	0.5880618642623076	38972
CP003496.1_prot_D7S_00090_88	dGTP triphosphohydrolase	0.0	0.131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	-0.5485958855854587	3.04	0.45	0.22202517379198	4.53	-0.5512464720701608	2134
CP003496.1_prot_D7S_00091_89	deoxyguanosinetriphosphate triphosphohydrolase-like protein	0.0	0.142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	-0.12303226715513597	3.22	0.09	0.03956215786183774	5.38	-0.13257657265167727	5750
CP003496.1_prot_D7S_00092_90	membrane protein	0.0	0.134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	3.0	0.5305699591376638	5.31	0.12	0.0544838330839316	7.48	0.49260735324758964	34773
CP003496.1_prot_D7S_00094_91	putative integrase	0.0	0.223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.003433140763702972	2.83	0.37	0.16413643854298868	5.83	-0.016768416267308166	11158
CP003496.1_prot_D7S_00095_92	XRE family transcriptional regulator	0.0	0.105	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.18233901648583908	3.2800000000000002	2.0	1.455918114143921	4.84	0.1479127914685659	15847
CP003496.1_prot_D7S_00097_93	Transposase	0.0	0.119	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	5.0	0.11957235451599267	2.78	2.0	1.4567776978008449	4.77	0.08665021877900479	14089
CP003496.1_prot_D7S_00098_94	hypothetical protein	0.0	0.117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.7645963082992814	5.855	0.3	0.1461863315212244	7.91	0.7056654291288617	43361
CP003496.1_prot_D7S_00099_95	transposase, IS4 family protein	0.0	0.122	0.0	2.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	-0.20274200366351977	5.03	0.27	0.12133673024832839	6.99	-0.191460420889133	7841
CP003496.1_prot_D7S_00100_96	death-on-curing protein	0.0	0.109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	-0.044590672114978164	4.19	0.15	0.07261493000966039	5.23	-0.06785274562915539	12312
CP003496.1_prot_D7S_00101_97	peptidase E	0.0	0.146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	-0.46524165140200086	2.51	0.32	0.13791885287822248	4.02	-0.4553316727596462	1083
CP003496.1_prot_D7S_00102_98	thiamine biosynthesis/tRNA modification protein ThiI	0.0	0.136	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	-0.09671058193602931	3.83	2.0	1.4155970488511735	6.68	-0.11155342564355122	12120
CP003496.1_prot_D7S_00103_99	cytochrome c-type protein TorY	0.0	0.642	0.5	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	3.0	-0.0756552064252501	2.38	0.75	0.6176211808383687	4.9	-0.0965590135055784	6418
CP003496.1_prot_D7S_00105_101	MmcQ protein	0.0	0.106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	-0.16281034239819644	4.94	0.35	0.15451423484174034	6.76	-0.1554238251283314	7835
CP003496.1_prot_D7S_00106_102	CitT protein	0.0	0.106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	-0.17454417359447652	2.96	0.3	0.14470450627924156	4.47	-0.20680961491106775	7237
CP003496.1_prot_D7S_00107_103	putative plasmid stability protein StbD, antitoxin of toxin-antitoxin stability system	0.0	0.13	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.5735909539241933	4.69	1.5	0.9471302066561854	7.14	0.5252330801432008	36276
CP003496.1_prot_D7S_00109_104	putative plasmid stability protein StbE, addiction module antitoxin	0.0	0.099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	3.0	0.5983436663378892	5.135	0.39	0.18884549087947267	7.0	0.5451647945750383	37287
