	Description	Secretion_orignial	Orignial_rank	Secretion 0.01	Rank 0.01	Secretion 0.025	Rank 0.025	Secretion 0.05	Rank 0.05	Secretion 0.1	Rank 0.1	Secretion 0.125	Rank 0.125	Secretion 0.15	Rank 0.15
CP003496.1_prot_D7S_00015_14	ribose import ATP-binding protein RbsA	False	838.0	False	1358.0	False	1665.0	False	1589.0	False	1834.0	False	1759.0	False	1915.0
CP003496.1_prot_D7S_00016_15	inner membrane ABC transporter permease protein YdeY	False	1907.0	False	403.0	False	423.0	True	524.0	False	305.0	False	374.0	False	292.0
CP003496.1_prot_D7S_00017_16	ABC transporter, permease, sugar transport	False	1623.0	False	752.0	False	763.0	False	754.0	False	826.0	True	726.0	True	732.0
CP003496.1_prot_D7S_00018_17	rhamnose ABC transporter, rhamnose-binding protein	True	923.0	True	723.0	True	705.0	True	751.0	True	870.0	True	997.0	True	874.0
CP003496.1_prot_D7S_00019_18	aldolase	True	1053.0	False	1115.0	False	1199.0	False	1261.0	False	1250.0	False	1186.0	False	1370.0
CP003496.1_prot_D7S_00020_19	autoinducer-2 modifying protein LsrG	False	1982.0	False	225.0	False	229.0	False	229.0	False	399.0	False	293.0	False	320.0
CP003496.1_prot_D7S_00021_20	pyruvate kinase	True	556.0	False	1801.0	True	1881.0	True	1821.0	True	1878.0	False	1920.0	True	1925.0
CP003496.1_prot_D7S_00022_21	ribonucleoside-diphosphate reductase subunit beta	False	17.0	False	1671.0	False	1604.0	False	1555.0	False	1484.0	False	1151.0	False	1188.0
CP003496.1_prot_D7S_00023_22	ribonucleoside-diphosphate reductase, alpha chain	False	40.0	True	779.0	True	741.0	True	662.0	True	891.0	False	429.0	False	223.0
CP003496.1_prot_D7S_00024_23	tryptophan synthase, alpha subunit	False	1032.0	False	1633.0	False	1422.0	False	1416.0	False	1211.0	False	1428.0	False	1202.0
CP003496.1_prot_D7S_00025_24	tryptophan synthase, beta subunit	False	742.0	False	1577.0	False	1394.0	False	1356.0	False	1660.0	False	1483.0	False	1399.0
CP003496.1_prot_D7S_00026_25	NADP-dependent l-serine/l-allo-threonine dehydrogenase ydfg	False	543.0	False	1822.0	True	1810.0	False	1890.0	False	1918.0	False	1975.0	False	1902.0
CP003496.1_prot_D7S_00027_26	hypothetical protein	False	1288.0	False	846.0	False	891.0	False	868.0	False	963.0	False	885.0	False	848.0
CP003496.1_prot_D7S_00029_28	oxaloacetate decarboxylase beta chain	False	480.0	True	1535.0	True	1668.0	True	1722.0	True	1733.0	True	1871.0	False	1743.0
CP003496.1_prot_D7S_00030_29	oxaloacetate decarboxylase alpha subunit	False	589.0	True	1687.0	True	1802.0	True	1888.0	True	1968.0	True	1888.0	True	1934.0
CP003496.1_prot_D7S_00031_30	oxaloacetate decarboxylase gamma chain 3	False	1735.0	True	165.0	False	231.0	False	274.0	False	298.0	False	392.0	False	344.0
CP003496.1_prot_D7S_00032_31	hypothetical protein	False	1834.0	False	267.0	False	336.0	False	471.0	False	444.0	False	375.0	False	307.0
CP003496.1_prot_D7S_00033_32	hydrogenase assembly chaperone HypC/HupF	False	1951.0	True	65.0	False	144.0	False	199.0	False	114.0	False	167.0	False	144.0
CP003496.1_prot_D7S_00034_33	hydrogenase-2 operon protein HybE	False	215.0	False	757.0	False	822.0	False	861.0	False	774.0	False	850.0	False	805.0
CP003496.1_prot_D7S_00035_34	tryptophan biosynthesis protein trpCF	False	775.0	False	1787.0	False	1780.0	False	1788.0	False	1925.0	False	1974.0	False	1886.0
CP003496.1_prot_D7S_00036_35	plasmid maintenance system antidote protein, XRE family	False	355.0	False	8.0	False	23.0	False	27.0	False	31.0	False	29.0	False	51.0
CP003496.1_prot_D7S_00037_36	plasmid maintenance system killer	False	1908.0	False	190.0	False	198.0	False	235.0	False	233.0	False	285.0	False	261.0
CP003496.1_prot_D7S_00038_37	anthranilate phosphoribosyltransferase	False	1393.0	False	1169.0	False	1205.0	False	968.0	False	1009.0	False	859.0	False	1081.0
CP003496.1_prot_D7S_00039_38	anthranilate phosphoribosyltransferase	False	1713.0	False	428.0	False	505.0	False	511.0	False	505.0	False	573.0	False	561.0
CP003496.1_prot_D7S_00040_39	anthranilate synthase component II	False	1077.0	False	1458.0	False	1371.0	False	1294.0	False	1323.0	False	1450.0	False	1330.0
CP003496.1_prot_D7S_00041_40	anthranilate synthase component I	False	1452.0	False	916.0	False	902.0	False	763.0	False	906.0	True	1105.0	False	959.0
CP003496.1_prot_D7S_00042_41	3-deoxy-manno-octulosonate-8-phosphatase	False	1825.0	True	505.0	False	719.0	False	711.0	True	686.0	True	624.0	True	720.0
CP003496.1_prot_D7S_00043_42	arabinose 5-phosphate isomerase	False	1629.0	True	177.0	True	140.0	True	156.0	True	137.0	True	132.0	True	393.0
CP003496.1_prot_D7S_00044_43	heat shock protein HtpX	False	961.0	False	1311.0	False	1295.0	False	1520.0	False	1321.0	False	1415.0	False	1281.0
CP003496.1_prot_D7S_00045_44	phenylalanyl-tRNA synthetase, alpha subunit	False	1731.0	False	303.0	False	257.0	False	138.0	True	287.0	False	241.0	False	247.0
CP003496.1_prot_D7S_00046_45	phenylalanyl-tRNA synthetase, beta subunit	False	82.0	False	118.0	False	74.0	False	63.0	False	115.0	False	48.0	False	43.0
CP003496.1_prot_D7S_00047_46	integration host factor subunit alpha	True	87.0	False	11.0	False	16.0	False	8.0	False	20.0	False	22.0	False	7.0
CP003496.1_prot_D7S_00048_47	lipoprotein	False	1439.0	False	662.0	False	806.0	False	829.0	False	687.0	False	703.0	False	669.0
CP003496.1_prot_D7S_00049_48	putative FHA domain protein	False	1743.0	False	387.0	False	439.0	False	537.0	False	562.0	False	434.0	False	539.0
CP003496.1_prot_D7S_00050_49	TolC protein	True	657.0	True	1610.0	True	1554.0	True	1631.0	True	1639.0	True	1755.0	True	1469.0
CP003496.1_prot_D7S_00051_50	ABC-2 type transporter	False	712.0	False	1876.0	False	1771.0	False	1750.0	False	1901.0	False	1848.0	False	1569.0
CP003496.1_prot_D7S_00053_52	AcrA protein	False	805.0	False	1618.0	False	1537.0	False	1442.0	True	1869.0	False	1916.0	False	1672.0
CP003496.1_prot_D7S_00054_53	AcrR protein	False	1232.0	False	1029.0	False	916.0	False	949.0	False	758.0	False	843.0	False	914.0
CP003496.1_prot_D7S_00055_54	aspartate aminotransferase	False	1829.0	True	217.0	True	67.0	True	75.0	True	111.0	True	128.0	True	184.0
CP003496.1_prot_D7S_00057_56	dihydroorotate oxidase	False	1246.0	False	1155.0	False	1287.0	False	1259.0	False	1210.0	False	1301.0	False	1128.0
CP003496.1_prot_D7S_00058_57	fumarate hydratase	False	1526.0	False	656.0	False	550.0	False	608.0	False	462.0	False	488.0	False	713.0
CP003496.1_prot_D7S_00060_59	universal stress protein UspE	True	1360.0	True	815.0	False	713.0	False	720.0	True	681.0	True	1008.0	True	827.0
CP003496.1_prot_D7S_00061_60	UspA protein	False	1837.0	True	358.0	False	391.0	False	519.0	False	471.0	False	386.0	False	433.0
CP003496.1_prot_D7S_00062_61	transcriptional activator protein anr	False	123.0	True	1711.0	True	1663.0	True	1665.0	True	1755.0	True	1707.0	False	1377.0
CP003496.1_prot_D7S_00063_62	hypothetical protein	False	1753.0	False	391.0	False	346.0	False	328.0	False	402.0	False	334.0	False	311.0
CP003496.1_prot_D7S_00064_63	ferritin like protein-2	True	1654.0	False	661.0	False	600.0	False	517.0	False	665.0	False	669.0	True	817.0
CP003496.1_prot_D7S_00065_64	nonheme iron-containing ferritin	False	1859.0	True	322.0	True	254.0	False	195.0	False	254.0	False	354.0	False	488.0
CP003496.1_prot_D7S_00066_65	exodeoxyribonuclease I	False	7.0	False	1359.0	False	1416.0	False	1255.0	False	1322.0	False	1185.0	False	1075.0
CP003496.1_prot_D7S_00067_66	cell division protein MukB	False	1006.0	False	1396.0	False	1467.0	False	1492.0	False	1278.0	False	1290.0	False	1315.0
CP003496.1_prot_D7S_00069_68	condesin subunit E	False	1167.0	False	1085.0	False	1064.0	False	1104.0	False	1205.0	False	1141.0	False	931.0
CP003496.1_prot_D7S_00072_71	chromosome partition protein MukF	False	427.0	False	1816.0	False	1778.0	False	1875.0	False	1898.0	False	1782.0	False	1796.0
CP003496.1_prot_D7S_00073_72	DacC protein	False	1000.0	False	1403.0	False	1378.0	False	1474.0	False	1497.0	False	1507.0	False	1453.0
CP003496.1_prot_D7S_00074_73	lipoprotein HlpB	True	246.0	False	602.0	False	535.0	False	474.0	False	623.0	False	646.0	True	413.0
CP003496.1_prot_D7S_00075_74	50S ribosomal protein L25	False	80.0	False	129.0	False	93.0	False	91.0	False	62.0	False	9.0	False	36.0
CP003496.1_prot_D7S_00076_75	cobalt transport protein CbiM	False	953.0	False	1405.0	False	1238.0	False	1310.0	False	1349.0	False	1401.0	False	1269.0
CP003496.1_prot_D7S_00078_77	starch synthase	False	515.0	True	1640.0	True	1720.0	True	1649.0	True	1696.0	False	1539.0	True	1558.0
CP003496.1_prot_D7S_00079_78	glucose-1-phosphate adenylyltransferase	False	364.0	True	1667.0	True	1725.0	True	1847.0	False	1846.0	False	1814.0	False	1887.0
CP003496.1_prot_D7S_00080_79	glycogen debranching enzyme GlgX	False	1015.0	True	828.0	False	1026.0	False	1031.0	False	1071.0	False	937.0	False	1317.0
CP003496.1_prot_D7S_00081_80	1,4-alpha-glucan branching enzyme	False	1194.0	False	784.0	False	709.0	False	673.0	False	788.0	False	566.0	False	722.0
CP003496.1_prot_D7S_00082_81	4-alpha-glucanotransferase	False	1307.0	True	700.0	False	680.0	False	785.0	False	645.0	False	855.0	False	996.0
CP003496.1_prot_D7S_00083_82	hypothetical protein	True	1066.0	False	1219.0	False	1180.0	False	1222.0	False	1352.0	False	1190.0	False	1287.0
CP003496.1_prot_D7S_00085_83	glycoside hydrolase, family 19, putative	False	933.0	False	1323.0	False	1271.0	False	1500.0	False	1344.0	False	1379.0	False	1576.0
CP003496.1_prot_D7S_00086_84	ABC transporter ATP-binding protein uup	False	1212.0	False	685.0	False	940.0	False	1019.0	False	1123.0	False	1055.0	False	1241.0
CP003496.1_prot_D7S_00088_86	addiction module killer protein	False	1943.0	False	147.0	False	77.0	False	69.0	False	160.0	False	107.0	False	156.0
CP003496.1_prot_D7S_00089_87	putative transcriptional regulator	False	356.0	False	87.0	False	47.0	False	51.0	False	58.0	False	65.0	False	26.0
CP003496.1_prot_D7S_00090_88	dGTP triphosphohydrolase	False	382.0	False	1941.0	False	1924.0	False	1963.0	False	1921.0	False	1966.0	False	1869.0
CP003496.1_prot_D7S_00091_89	deoxyguanosinetriphosphate triphosphohydrolase-like protein	False	732.0	False	1689.0	False	1721.0	False	1838.0	False	1792.0	False	1745.0	False	1744.0
CP003496.1_prot_D7S_00092_90	membrane protein	False	1902.0	False	230.0	False	284.0	False	250.0	False	294.0	False	303.0	False	401.0
CP003496.1_prot_D7S_00094_91	putative integrase	False	981.0	False	1098.0	False	912.0	False	883.0	False	909.0	False	1184.0	False	1161.0
CP003496.1_prot_D7S_00095_92	XRE family transcriptional regulator	False	54.0	False	501.0	False	526.0	False	514.0	False	473.0	False	447.0	False	448.0
CP003496.1_prot_D7S_00097_93	Transposase	False	43.0	False	573.0	False	558.0	False	455.0	False	504.0	True	422.0	True	263.0
CP003496.1_prot_D7S_00098_94	hypothetical protein	False	1996.0	False	122.0	False	167.0	False	159.0	False	210.0	False	168.0	False	249.0
CP003496.1_prot_D7S_00099_95	transposase, IS4 family protein	False	628.0	False	1283.0	False	1279.0	False	1349.0	False	1531.0	False	1400.0	False	1491.0
CP003496.1_prot_D7S_00100_96	death-on-curing protein	False	866.0	False	1406.0	False	1363.0	False	1283.0	False	1368.0	False	1377.0	False	1457.0
CP003496.1_prot_D7S_00101_97	peptidase E	False	413.0	False	1995.0	False	1998.0	False	1998.0	False	1994.0	False	1996.0	False	1963.0
CP003496.1_prot_D7S_00102_98	thiamine biosynthesis/tRNA modification protein ThiI	False	25.0	False	1576.0	False	1334.0	False	966.0	False	590.0	False	760.0	False	279.0
CP003496.1_prot_D7S_00103_99	cytochrome c-type protein TorY	True	147.0	True	1217.0	True	1174.0	True	1002.0	False	936.0	True	1119.0	True	773.0
CP003496.1_prot_D7S_00105_101	MmcQ protein	False	682.0	False	1468.0	False	1448.0	False	1466.0	False	1629.0	False	1497.0	False	1494.0
CP003496.1_prot_D7S_00106_102	CitT protein	False	667.0	False	1768.0	False	1707.0	False	1677.0	False	1576.0	False	1563.0	False	1483.0
CP003496.1_prot_D7S_00107_103	putative plasmid stability protein StbD, antitoxin of toxin-antitoxin stability system	False	346.0	False	48.0	False	76.0	False	130.0	False	82.0	False	68.0	False	72.0
CP003496.1_prot_D7S_00109_104	putative plasmid stability protein StbE, addiction module antitoxin	False	1947.0	False	66.0	False	89.0	False	89.0	False	94.0	False	142.0	False	166.0
CP003496.1_prot_D7S_00110_105	tRNA pseudouridine synthase A	False	1012.0	False	1168.0	False	1076.0	False	1027.0	False	860.0	False	1075.0	False	1155.0
CP003496.1_prot_D7S_00111_106	30S ribosomal protein S9	False	270.0	True	123.0	True	48.0	True	23.0	True	54.0	True	115.0	False	119.0
CP003496.1_prot_D7S_00112_107	ribosomal protein L13	False	1336.0	False	688.0	False	706.0	False	690.0	False	680.0	False	750.0	False	544.0
CP003496.1_prot_D7S_00113_108	tellurite resistance protein TehB	False	1501.0	False	1004.0	False	1079.0	False	1145.0	False	1379.0	False	884.0	False	884.0
CP003496.1_prot_D7S_00114_109	exodeoxyribonuclease V, alpha subunit	False	71.0	False	158.0	False	170.0	False	60.0	False	11.0	True	129.0	False	25.0
CP003496.1_prot_D7S_00116_111	DsrE protein	False	1215.0	False	994.0	False	1105.0	False	1236.0	False	1256.0	False	1194.0	False	1219.0
CP003496.1_prot_D7S_00118_112	beta-hydroxydecanoyl thioester dehydrase	True	1286.0	False	879.0	False	960.0	False	950.0	False	836.0	False	874.0	False	877.0
CP003496.1_prot_D7S_00119_113	Putative protease La-like protein	False	1558.0	False	541.0	False	672.0	False	581.0	False	967.0	False	605.0	False	607.0
CP003496.1_prot_D7S_00120_114	macrodomain Ter protein	False	1508.0	False	513.0	False	548.0	False	533.0	False	496.0	False	523.0	False	298.0
CP003496.1_prot_D7S_00121_115	cold shock domain-containing protein CspD	False	202.0	False	923.0	False	788.0	False	746.0	False	780.0	False	641.0	False	686.0
CP003496.1_prot_D7S_00122_116	hypothetical protein	False	291.0	False	289.0	False	260.0	False	272.0	False	265.0	False	263.0	False	266.0
CP003496.1_prot_D7S_00124_117	tRNA pseudouridine synthase C	False	1701.0	False	470.0	False	491.0	False	338.0	False	301.0	False	342.0	False	472.0
CP003496.1_prot_D7S_00125_118	Zn-ribbon-containing, possibly nucleic-acid-binding protein	False	34.0	True	863.0	False	792.0	False	808.0	False	832.0	False	777.0	False	769.0
CP003496.1_prot_D7S_00126_119	7-cyano-7-deazaguanine reductase	False	1255.0	False	1060.0	False	887.0	False	947.0	False	887.0	False	989.0	False	992.0
CP003496.1_prot_D7S_00127_120	two component Fis family transcriptional regulator	False	113.0	False	1517.0	False	1682.0	False	1619.0	False	1601.0	False	1618.0	False	1369.0
CP003496.1_prot_D7S_00129_121	integral membrane sensor signal transduction histidine kinase	False	1674.0	False	312.0	False	387.0	False	562.0	False	258.0	False	280.0	False	469.0
CP003496.1_prot_D7S_00132_124	ISPsy8, transposase OrfA	False	265.5	False	369.5	False	296.5	False	219.5	False	187.5	False	220.5	False	204.5
CP003496.1_prot_D7S_00134_125	integrase, catalytic region	False	155.0	False	1164.0	False	1099.0	False	1122.0	False	1157.0	False	1062.0	False	1106.0
CP003496.1_prot_D7S_00135_126	phosphoglycerate transport regulatory protein	False	1251.0	False	1193.0	False	1203.0	False	1201.0	False	1014.0	False	1144.0	False	1186.0
CP003496.1_prot_D7S_00136_127	extracellular solute-binding protein	True	1192.0	False	1101.0	False	1348.0	True	1182.0	True	1238.0	True	1121.0	False	1039.0
CP003496.1_prot_D7S_00137_128	ABC transporter related protein	False	1482.0	False	825.0	False	1084.0	False	1001.0	False	1126.0	False	920.0	False	1040.0
CP003496.1_prot_D7S_00138_129	binding-protein-dependent transport systems inner membrane component	False	1285.0	False	1103.0	False	1179.0	False	1205.0	False	1361.0	False	954.0	False	932.0
CP003496.1_prot_D7S_00139_130	ABC transporter related protein	False	1606.0	False	696.0	False	927.0	False	1229.0	False	1094.0	False	912.0	False	1182.0
CP003496.1_prot_D7S_00140_131	transporting ATPase	False	1186.0	False	1127.0	False	1192.0	False	1295.0	False	1219.0	False	1175.0	False	1069.0
CP003496.1_prot_D7S_00141_132	ATP-dependent metallopeptidase HflB	False	327.0	False	112.0	False	73.0	False	12.0	False	7.0	False	14.0	False	18.0
CP003496.1_prot_D7S_00142_133	ribosomal RNA large subunit methyltransferase J	False	1046.0	False	1188.0	False	1185.0	False	1204.0	False	1191.0	False	1347.0	False	933.0
CP003496.1_prot_D7S_00143_134	formyltetrahydrofolate deformylase	False	37.0	False	1070.0	False	1016.0	False	1000.0	False	933.0	False	779.0	False	747.0
CP003496.1_prot_D7S_00144_135	H-NS histone family	False	347.0	False	18.0	False	17.0	False	30.0	False	30.0	False	20.0	False	39.0
CP003496.1_prot_D7S_00145_136	Na+/H+ antiporter family	False	1715.0	False	599.0	False	582.0	False	525.0	True	536.0	False	588.0	False	759.0
CP003496.1_prot_D7S_00146_137	Sel1 domain protein repeat-containing protein	True	514.0	True	1738.0	False	1839.0	True	1915.0	False	1824.0	False	1850.0	True	1666.0
CP003496.1_prot_D7S_00147_138	membrane protein	False	516.0	False	1800.0	False	1906.0	False	1874.0	False	1799.0	False	1861.0	False	1847.0
CP003496.1_prot_D7S_00148_139	putative translation initiation inhibitor, YjgF family protein	False	77.0	True	20.0	True	35.0	False	46.0	True	55.0	False	54.0	True	75.0
CP003496.1_prot_D7S_00150_140	hypothetical protein	False	837.0	False	1530.0	False	1470.0	False	1566.0	False	1423.0	False	1590.0	False	1703.0
CP003496.1_prot_D7S_00151_141	Ribonuclease III	False	1300.0	False	1159.0	False	1109.0	False	1218.0	False	1036.0	False	956.0	False	1288.0
CP003496.1_prot_D7S_00152_142	endoribonuclease L-PSP	False	148.0	False	1463.0	False	1451.0	False	1370.0	False	1450.0	False	1328.0	False	1243.0
CP003496.1_prot_D7S_00153_143	DNA polymerase III subunit tau	False	627.0	False	1356.0	False	1221.0	False	1327.0	True	1396.0	False	1660.0	False	1704.0
CP003496.1_prot_D7S_00154_144	adenine phosphoribosyltransferase	False	748.0	False	1494.0	False	1397.0	False	1412.0	False	1421.0	False	1617.0	False	1606.0
CP003496.1_prot_D7S_00155_145	lipid A biosynthesis lauroyl acyltransferase	False	817.0	False	1713.0	False	1575.0	False	1554.0	False	1841.0	False	1684.0	False	1753.0
CP003496.1_prot_D7S_00156_146	inner membrane protein YfcA	False	970.0	False	1336.0	False	1398.0	False	1414.0	False	1460.0	False	1416.0	False	1357.0
CP003496.1_prot_D7S_00157_147	peptidoglycan amidase MepA	True	557.0	False	1847.0	False	1807.0	False	1792.0	False	1785.0	False	1849.0	False	1907.0
CP003496.1_prot_D7S_00158_148	chorismate synthase	False	143.0	False	1731.0	False	1485.0	False	1393.0	False	1348.0	False	1280.0	False	1355.0
CP003496.1_prot_D7S_00160_150	O-succinylbenzoate-CoA ligase	False	422.0	False	1992.0	False	1995.0	False	1997.0	False	2000.0	False	2001.0	False	1927.0
CP003496.1_prot_D7S_00161_151	protein SeqA	False	158.0	False	1176.0	False	1132.0	False	1194.0	False	796.0	False	943.0	False	1056.0
CP003496.1_prot_D7S_00162_152	esterase YbfF	False	1161.0	True	1540.0	False	1526.0	False	1524.0	False	1486.0	False	1413.0	False	1244.0
CP003496.1_prot_D7S_00163_153	flavodoxin	False	1566.0	False	869.0	False	969.0	False	918.0	False	942.0	False	737.0	False	774.0
CP003496.1_prot_D7S_00164_154	ferric uptake regulation protein	False	1808.0	False	346.0	False	238.0	False	378.0	False	345.0	False	230.0	False	342.0
CP003496.1_prot_D7S_00166_156	acetyl-CoA carboxylase subunit beta	False	1638.0	True	151.0	True	100.0	True	131.0	True	206.0	True	172.0	True	255.0
CP003496.1_prot_D7S_00167_157	translation initiation factor Sui1	False	310.0	False	196.0	False	127.0	False	71.0	False	205.0	False	284.0	False	70.0
CP003496.1_prot_D7S_00168_158	orotidine 5'-phosphate decarboxylase	False	735.0	False	1660.0	False	1781.0	False	1864.0	False	1787.0	False	1900.0	False	1857.0
CP003496.1_prot_D7S_00169_159	tetratricopeptide domain protein	False	1706.0	True	543.0	True	698.0	True	803.0	True	862.0	True	787.0	True	995.0
CP003496.1_prot_D7S_00170_160	30S ribosomal protein S1	False	1942.0	False	45.0	False	61.0	False	67.0	False	65.0	False	50.0	False	49.0
CP003496.1_prot_D7S_00171_161	integration host factor subunit beta	False	330.0	False	107.0	False	112.0	False	64.0	False	99.0	False	163.0	False	76.0
CP003496.1_prot_D7S_00172_162	ribosomal protein S1	False	89.0	False	34.0	False	7.0	False	10.0	False	5.0	False	26.0	False	4.0
CP003496.1_prot_D7S_00173_163	cytidylate kinase	False	555.0	False	1878.0	False	1878.0	False	1774.0	False	1690.0	False	1875.0	True	1982.0
CP003496.1_prot_D7S_00174_164	coproporphyrinogen III oxidase	False	1104.0	False	1328.0	False	1306.0	False	1346.0	False	1510.0	False	1420.0	False	1511.0
CP003496.1_prot_D7S_00177_167	branched-chain amino acid transport protein AzlD	False	1764.0	False	469.0	False	450.0	False	501.0	False	521.0	False	632.0	False	584.0
CP003496.1_prot_D7S_00178_168	azaleucine resistance protein AzlC	False	722.0	False	1791.0	False	1792.0	False	1802.0	False	1757.0	False	1743.0	False	1848.0
CP003496.1_prot_D7S_00179_169	HTH-type transcriptional regulator MetR	False	1818.0	False	481.0	False	402.0	False	410.0	False	342.0	False	733.0	False	405.0
CP003496.1_prot_D7S_00181_171	crispr-associated protein Cas2	False	1957.0	False	50.0	False	45.0	False	45.0	False	73.0	False	41.0	False	54.0
CP003496.1_prot_D7S_00182_172	CRISPR-associated protein Cas1	False	1322.0	False	701.0	False	883.0	False	833.0	False	847.0	False	763.0	False	958.0
CP003496.1_prot_D7S_00184_173	hypothetical protein	False	1856.0	False	162.0	False	107.0	False	112.0	False	32.0	False	77.0	False	360.0
CP003496.1_prot_D7S_00185_174	CRISPR-associated protein Cas4	False	1350.0	False	692.0	False	689.0	False	695.0	False	723.0	False	761.0	False	646.0
CP003496.1_prot_D7S_00186_175	CRISPR-associated Csd2 family protein	False	166.0	False	1145.0	False	1116.0	False	1112.0	False	1146.0	False	935.0	False	900.0
CP003496.1_prot_D7S_00187_176	CRISPR-associated RAMP Csd1 family protein	False	869.0	False	788.0	True	772.0	True	663.0	False	1074.0	False	1266.0	False	845.0
CP003496.1_prot_D7S_00188_177	CRISPR-associated Cas5 family protein	False	466.0	False	1734.0	False	1709.0	False	1660.0	False	1786.0	False	1879.0	False	1879.0
CP003496.1_prot_D7S_00192_180	putative transcriptional regulator	False	329.0	False	105.0	False	122.0	False	125.0	False	127.0	False	155.0	False	79.0
CP003496.1_prot_D7S_00193_181	diaminopimelate decarboxylase	False	1464.0	False	645.0	False	749.0	False	879.0	False	857.0	False	866.0	False	898.0
CP003496.1_prot_D7S_00195_182	peptide chain release factor 3	False	1861.0	True	172.0	True	227.0	False	194.0	False	240.0	False	25.0	False	299.0
CP003496.1_prot_D7S_00196_183	WcaG protein	False	1275.0	False	1335.0	False	1353.0	False	1208.0	False	1160.0	False	1305.0	False	1089.0
CP003496.1_prot_D7S_00197_184	argininosuccinate synthase	False	485.0	False	1958.0	False	1949.0	False	1926.0	False	1990.0	False	1940.0	False	1759.0
CP003496.1_prot_D7S_00198_185	L-lactate dehydrogenase	False	1877.0	False	142.0	False	234.0	False	294.0	False	282.0	False	231.0	False	329.0
CP003496.1_prot_D7S_00199_186	gamma-glutamyltransferase	True	1460.0	False	816.0	False	597.0	False	507.0	False	676.0	False	738.0	True	449.0
CP003496.1_prot_D7S_00201_187	sensor protein QseC	False	577.0	False	1608.0	False	1741.0	False	1689.0	False	1676.0	False	1607.0	False	1791.0
CP003496.1_prot_D7S_00203_188	transcriptional regulatory protein QseB	False	109.0	False	1870.0	False	1863.0	False	1861.0	False	1829.0	True	1764.0	False	1769.0
CP003496.1_prot_D7S_00204_189	protein YgiW	True	72.0	False	300.0	False	323.0	False	307.0	False	306.0	False	282.0	True	210.0
CP003496.1_prot_D7S_00206_191	formate dehydrogenase accessory protein FdhE	False	1762.0	True	449.0	True	285.0	False	370.0	False	323.0	False	292.0	False	514.0
CP003496.1_prot_D7S_00207_192	2',3'-cyclic-nucleotide 2'-phosphodiesterase	True	801.0	False	1264.0	False	1289.0	False	1233.0	False	1049.0	False	830.0	False	1259.0
CP003496.1_prot_D7S_00208_193	ABC transport system periplasmic protein	True	822.0	True	1378.0	True	1102.0	True	1107.0	True	1310.0	True	782.0	True	1018.0
CP003496.1_prot_D7S_00209_194	ABC transport system permease protein	False	958.0	False	1486.0	False	1598.0	False	1666.0	False	1622.0	False	1629.0	False	1566.0
CP003496.1_prot_D7S_00210_195	transport system permease protein	False	1007.0	False	1461.0	False	1482.0	False	1482.0	False	1414.0	False	1179.0	False	1497.0
CP003496.1_prot_D7S_00211_196	putative siderophore ABC superfamily ATP binding cassette transporter, ABC protein	False	875.0	False	1393.0	False	1481.0	False	1307.0	False	1845.0	False	1285.0	False	1492.0
CP003496.1_prot_D7S_00212_197	NlpD protein	False	852.0	False	1556.0	False	1281.0	True	1409.0	False	1458.0	False	1796.0	False	1416.0
