	Description	Ori_CR (Pr)	Rec_CR (Pr)	Ori_RBP (Pr)	Rec_RBP (Pr)	Orignial_rank	Rec_rank	SignalP_nonfused	SignalP_fused	MS_nonfused	MS_fused	Secretion_nonfused	Secretion_fused
CP003496.1_prot_D7S_00022_21	ribonucleoside-diphosphate reductase subunit beta	0.16831892867254958	0.1662235578444305	1.0	0.6212307660667071	196.0	1372.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00023_22	ribonucleoside-diphosphate reductase, alpha chain	0.4690387872801807	0.47281739827769426	1.0	0.8995405850602096	66.0	410.0	False	False	False	True	False	True
CP003496.1_prot_D7S_00024_23	tryptophan synthase, alpha subunit	0.377664196268559	0.37690441358401433	0.0	0.24218791758239278	1332.0	1596.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00025_24	tryptophan synthase, beta subunit	0.22744824482316275	0.2242016846428281	0.0	0.7277757594667208	1622.0	1086.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00026_25	NADP-dependent l-serine/l-allo-threonine dehydrogenase ydfg	0.10447223818551415	0.103906864427023	0.0	0.23472858625389614	1821.0	1892.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00027_26	hypothetical protein	0.5480049536629437	0.5474488627505563	0.0	0.5846811284919394	1069.0	766.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00029_28	oxaloacetate decarboxylase beta chain	0.067302192749768	0.06621556240540402	0.0	0.6402807809404456	1884.0	1473.0	False	False	False	True	False	True
CP003496.1_prot_D7S_00030_29	oxaloacetate decarboxylase alpha subunit	0.13294308432544694	0.13727149951592052	0.0	0.16024690310137626	1775.0	1929.0	False	True	False	True	False	True
CP003496.1_prot_D7S_00031_30	oxaloacetate decarboxylase gamma chain 3	0.8301549219810227	0.8317589377542953	0.0	0.7148239590016249	558.0	238.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00032_31	hypothetical protein	0.8891578678325379	0.8891409933028481	0.0	0.22656655653486463	451.0	803.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00033_32	hydrogenase assembly chaperone HypC/HupF	0.967920500622648	0.9678722723832152	0.0	0.49107263096985226	318.0	313.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00034_33	hydrogenase-2 operon protein HybE	0.5636968141069352	0.5651125464084308	0.5	0.5350211870986474	235.0	840.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00035_34	tryptophan biosynthesis protein trpCF	0.2477789084942297	0.24281990260509614	0.0	0.1093706318904889	1589.0	1879.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00036_35	plasmid maintenance system antidote protein, XRE family	0.976603440369762	0.976695807712984	0.5	0.8969563847724166	60.0	22.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00037_36	plasmid maintenance system killer	0.9374142704223972	0.937761293283311	0.0	0.5042977762668815	365.0	330.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00038_37	anthranilate phosphoribosyltransferase	0.6129092133961151	0.6104076069003698	0.0	0.27276088672369425	950.0	1196.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00039_38	anthranilate phosphoribosyltransferase	0.80968605400119	0.8127172971436567	0.0	0.3726259699123297	583.0	667.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00040_39	anthranilate synthase component II	0.4145927273177352	0.41521344538336713	0.0	0.30838613795375885	1287.0	1450.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00041_40	anthranilate synthase component I	0.6483778375877275	0.6473583069560148	0.0	0.46074734579901855	882.0	828.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00042_41	3-deoxy-manno-octulosonate-8-phosphatase	0.8845466182276392	0.886262570681279	0.0	0.03532235878478749	460.0	1134.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00043_42	arabinose 5-phosphate isomerase	0.7497005746370602	0.7503256531023467	0.0	0.933985061977293	687.0	130.0	False	True	False	True	False	True
CP003496.1_prot_D7S_00044_43	heat shock protein HtpX	0.34915170956946084	0.3519575882957333	0.0	0.1936134895876624	1403.0	1680.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00045_44	phenylalanyl-tRNA synthetase, alpha subunit	0.8261508395457808	0.8244087447243116	0.0	0.8944533797523472	564.0	99.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00046_45	phenylalanyl-tRNA synthetase, beta subunit	0.9045454467247221	0.9062150903962062	1.0	0.8826474358030323	13.0	53.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00047_46	integration host factor subunit alpha	0.9481685002247913	0.9477950656598623	1.0	0.97296016741159	8.0	11.0	False	False	True	False	True	False
CP003496.1_prot_D7S_00048_47	lipoprotein	0.6392063353266442	0.6432592598308379	0.0	0.3744201782996153	898.0	975.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00049_48	putative FHA domain protein	0.8343360429141313	0.8349394314644043	0.0	0.29007260704047133	550.0	781.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00050_49	TolC protein	0.16742544970074816	0.16311517875138415	0.0	0.5273859866328566	1707.0	1497.0	False	True	True	False	True	True
CP003496.1_prot_D7S_00051_50	ABC-2 type transporter	0.2032041634243007	0.20552769170285232	0.0	0.2323949067886209	1652.0	1808.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00053_52	AcrA protein	0.2593854224796502	0.25971796913830714	0.0	0.5411978391843305	1559.0	1350.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00054_53	AcrR protein	0.5069705568597802	0.5084862232753191	0.0	0.57011883002358	1132.0	877.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00055_54	aspartate aminotransferase	0.8864665618330597	0.8874884218305784	0.0	0.8894836753813327	456.0	60.0	False	True	False	True	False	True
CP003496.1_prot_D7S_00057_56	dihydroorotate oxidase	0.5159724022100566	0.5182650196999643	0.0	0.12341433304835829	1118.0	1562.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00058_57	fumarate hydratase	0.6886294279980345	0.6916203984685321	0.0	0.5669391214120294	804.0	551.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00060_59	universal stress protein UspE	0.5966919818762595	0.5995542136429756	0.0	0.647587216742975	989.0	569.0	True	True	True	False	True	True
CP003496.1_prot_D7S_00061_60	UspA protein	0.8919809058636952	0.891156846243766	0.0	0.16483556771698304	447.0	911.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00062_61	transcriptional activator protein anr	0.14112155820440586	0.14195172808304682	0.5	0.5325278638707753	895.0	1515.0	False	True	False	True	False	True
CP003496.1_prot_D7S_00063_62	hypothetical protein	0.8381557453315325	0.8383711334435833	0.0	0.5926796320855765	539.0	340.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00064_63	ferritin like protein-2	0.7676176006576083	0.7647511234062493	0.0	0.48057877502165053	657.0	573.0	False	False	True	False	True	False
CP003496.1_prot_D7S_00065_64	nonheme iron-containing ferritin	0.9019715511525042	0.8985755218397495	0.0	0.6708402388950141	423.0	217.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00066_65	exodeoxyribonuclease I	0.054277919846422766	0.05300123420926587	1.0	0.9641574345346522	237.0	977.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00067_66	cell division protein MukB	0.3679893847469596	0.36888747347706574	0.0	0.17873667941459118	1358.0	1676.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00069_68	condesin subunit E	0.47010444187758454	0.46831417570877576	0.0	0.4645487272728073	1197.0	1118.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00072_71	chromosome partition protein MukF	0.03659864455053473	0.03594600387189484	0.0	0.4324769053757814	1937.0	1774.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00073_72	DacC protein	0.3662655493613111	0.36967734049600365	0.0	0.19508582473405972	1364.0	1661.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00074_73	lipoprotein HlpB	0.6725959182456438	0.666848175488806	0.5	0.7739453469882641	194.0	334.0	True	False	True	False	True	False
CP003496.1_prot_D7S_00075_74	50S ribosomal protein L25	0.8808330040772514	0.8821695901252512	1.0	0.8765456219279952	15.0	69.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00076_75	cobalt transport protein CbiM	0.34564052376078963	0.34394957209593285	0.0	0.4822719354859416	1411.0	1306.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00078_77	starch synthase	0.08664411458938413	0.08721357386140982	0.0	0.6918018841056538	1849.0	1389.0	False	True	False	True	False	True
CP003496.1_prot_D7S_00079_78	glucose-1-phosphate adenylyltransferase	0.00037479757646421036	0.0003868905270916427	0.0	0.598751961320672	2000.0	1620.0	False	False	False	True	False	True
CP003496.1_prot_D7S_00080_79	glycogen debranching enzyme GlgX	0.3723768322736718	0.37553214983908406	0.0	0.7491558823847329	1349.0	783.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00081_80	1,4-alpha-glucan branching enzyme	0.4839423298768844	0.48197636353462475	0.0	0.8831339152455805	1170.0	418.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00082_81	4-alpha-glucanotransferase	0.5587047259029103	0.5606022977886114	0.0	0.6543279546873486	1049.0	613.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00083_82	hypothetical protein	0.4083318973690233	0.40900238354866436	0.0	0.41805212974365297	1298.0	1299.0	True	False	False	False	True	False
CP003496.1_prot_D7S_00085_83	glycoside hydrolase, family 19, putative	0.3361082133133841	0.3358985361658472	0.0	0.26224009913300406	1431.0	1622.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00086_84	ABC transporter ATP-binding protein uup	0.4944134514182783	0.4959932521263156	0.0	0.5044058184715922	1152.0	1013.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00088_86	addiction module killer protein	0.962361084106296	0.9629259726429413	0.0	0.7982655614881282	327.0	66.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00089_87	putative transcriptional regulator	0.9766230120152236	0.9763823809942379	0.5	0.8436281489758833	59.0	43.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00090_88	dGTP triphosphohydrolase	0.013989256990255931	0.014048026138953142	0.0	0.2603213118780572	1982.0	1944.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00091_89	deoxyguanosinetriphosphate triphosphohydrolase-like protein	0.2188548365239993	0.2182972313758688	0.0	0.10337415297915974	1632.0	1909.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00092_90	membrane protein	0.9340619924957247	0.9333259354461483	0.0	0.48425052440417526	372.0	354.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00094_91	putative integrase	0.35759122425868434	0.3648638487088826	0.0	0.8873745057533039	1383.0	562.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00095_92	XRE family transcriptional regulator	0.5904626669911985	0.5910899767825581	1.0	0.8613262639352379	41.0	324.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00097_93	Transposase	0.5071335155646886	0.5069245759689486	1.0	0.9537672440962012	52.0	311.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00098_94	hypothetical protein	0.9952768239665112	0.9953605834863091	0.0	0.5288765421233924	267.0	257.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00099_95	transposase, IS4 family protein	0.15035821198220892	0.15107616579842442	0.0	0.844729960962753	1736.0	1019.0	False	False	False	True	False	True
CP003496.1_prot_D7S_00100_96	death-on-curing protein	0.30104054688038706	0.29668029694647385	0.0	0.6503239032996324	1498.0	1095.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00101_97	peptidase E	0.02825218122371622	0.02842675947089593	0.0	0.05386050755614573	1951.0	1997.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00102_98	thiamine biosynthesis/tRNA modification protein ThiI	0.24488313878712004	0.24391420111552609	1.0	0.9542932853067949	154.0	643.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00103_99	cytochrome c-type protein TorY	0.2668572746830683	0.2714275844323241	0.5	0.9246212325753016	660.0	648.0	True	False	False	True	True	True
CP003496.1_prot_D7S_00105_101	MmcQ protein	0.18269761489218397	0.18305571971731224	0.0	0.6933456688999033	1682.0	1206.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00106_102	CitT protein	0.1727805114174387	0.17048038733523532	0.0	0.4297949488123505	1697.0	1619.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00107_103	putative plasmid stability protein StbD, antitoxin of toxin-antitoxin stability system	0.9541064309250725	0.9534729289920222	0.5	0.693607730268115	73.0	151.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00109_104	putative plasmid stability protein StbE, addiction module antitoxin	0.963477021108474	0.9633043825357935	0.0	0.7516841712824891	323.0	103.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00110_105	tRNA pseudouridine synthase A	0.3693526748788041	0.3698556174759253	0.0	0.7697365245597355	1352.0	752.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00111_106	30S ribosomal protein S9	0.716913546442266	0.7182072383324425	0.5	0.9950904798640856	167.0	105.0	False	True	False	True	False	True
CP003496.1_prot_D7S_00112_107	ribosomal protein L13	0.5792569612085963	0.5791717705345952	0.0	0.7268862379699487	1016.0	480.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00113_108	tellurite resistance protein TehB	0.6757484891562533	0.6729679026753784	0.0	0.02842604542374177	831.0	1485.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00114_109	exodeoxyribonuclease V, alpha subunit	0.8337428396636255	0.8343584355803781	1.0	0.9490860335955361	24.0	56.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00116_111	DsrE protein	0.49584824945758477	0.49980554954288847	0.0	0.1835843476283951	1149.0	1504.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00118_112	beta-hydroxydecanoyl thioester dehydrase	0.5473480960913688	0.5496541123193381	0.0	0.4713929833024801	1071.0	971.0	False	False	True	False	True	False
CP003496.1_prot_D7S_00119_113	Putative protease La-like protein	0.7113398890933922	0.7115219724628619	0.0	0.5450708490446914	766.0	552.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00120_114	macrodomain Ter protein	0.6812515224575867	0.6784515717972172	0.0	0.6930400434669899	823.0	411.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00121_115	cold shock domain-containing protein CspD	0.5113837515943616	0.5113817963870937	0.5	0.7791492177775403	252.0	508.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00122_116	hypothetical protein	0.7971999404067089	0.7953289816622366	0.5	0.7752978810464877	135.0	216.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00124_117	tRNA pseudouridine synthase C	0.8012801023521614	0.8011315171004119	0.0	0.6661126610232764	605.0	303.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00125_118	Zn-ribbon-containing, possibly nucleic-acid-binding protein	0.39968232518094376	0.39950669859714	1.0	0.8926110723471039	97.0	504.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00126_119	7-cyano-7-deazaguanine reductase	0.5203695372709869	0.5256469388194634	0.0	0.5262364280024172	1109.0	921.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00127_120	two component Fis family transcriptional regulator	0.10756010204324105	0.1060942244655629	0.5	0.687269539704275	958.0	1362.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00129_121	integral membrane sensor signal transduction histidine kinase	0.7828428206243755	0.7839225530521775	0.0	0.3821721113043467	637.0	704.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00132_124	ISPsy8, transposase OrfA	0.7065936760700252	0.7029589195206453	0.5	0.9284336122645428	173.5	167.5	False	False	False	False	False	False
CP003496.1_prot_D7S_00134_125	integrase, catalytic region	0.3043604063246264	0.30565714218218826	0.5	0.8197598296374006	598.0	778.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00135_126	phosphoglycerate transport regulatory protein	0.5169642211052556	0.5198669672284566	0.0	0.17797244557837363	1113.0	1491.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00136_127	extracellular solute-binding protein	0.48343611126854585	0.4793737261939843	0.0	0.3184632781297676	1172.0	1354.0	True	False	False	True	True	True
CP003496.1_prot_D7S_00137_128	ABC transporter related protein	0.6649284471709656	0.6711297688612878	0.0	0.11261079504196525	851.0	1376.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00138_129	binding-protein-dependent transport systems inner membrane component	0.5467558555391271	0.5508684686212445	0.0	0.12186948721202102	1072.0	1519.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00139_130	ABC transporter related protein	0.736611647213244	0.7379542995390913	0.0	0.00037698689469409355	714.0	1437.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00140_131	transporting ATPase	0.4813308660114935	0.48105584086616093	0.0	0.1586019638744001	1178.0	1565.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00141_132	ATP-dependent metallopeptidase HflB	0.9006070273016484	0.8984321535903054	0.5	0.9813215119196876	96.0	19.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00142_133	ribosomal RNA large subunit methyltransferase J	0.3862617819788815	0.38123040154364857	0.0	0.5033448848838291	1318.0	1194.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00143_134	formyltetrahydrofolate deformylase	0.4279348532815981	0.43221227082087393	1.0	0.6897711655841804	86.0	791.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00144_135	H-NS histone family	0.9564645117761961	0.9549036735606217	0.5	0.9113327978094625	72.0	27.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00145_136	Na+/H+ antiporter family	0.812619460227064	0.8099083235623865	0.0	0.3556684598050543	581.0	705.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00146_137	Sel1 domain protein repeat-containing protein	0.08622249105160278	0.08355636688900035	0.0	0.24016187208933576	1850.0	1907.0	True	False	False	True	True	True
CP003496.1_prot_D7S_00147_138	membrane protein	0.08792935404091468	0.08739837597128483	0.0	0.3022048949405413	1848.0	1855.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00148_139	putative translation initiation inhibitor, YjgF family protein	0.8709913570930613	0.8696515077999739	1.0	0.9487708215503737	18.0	46.0	False	False	False	True	False	True
CP003496.1_prot_D7S_00150_140	hypothetical protein	0.282929735230682	0.2804563178289529	0.0	0.32529407985172587	1527.0	1610.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00151_141	Ribonuclease III	0.5558532372647111	0.5546505907853756	0.0	0.10169195264791953	1056.0	1542.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00152_142	endoribonuclease L-PSP	0.28427955712326897	0.283785659246749	0.5	0.5790001290560515	634.0	1237.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00153_143	DNA polymerase III subunit tau	0.1501848267568655	0.15373376392851495	0.0	0.8596701091806982	1737.0	987.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00154_144	adenine phosphoribosyltransferase	0.2321291212949477	0.23027737824762382	0.0	0.667514031016174	1616.0	1172.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00155_145	lipid A biosynthesis lauroyl acyltransferase	0.2695884256043121	0.2698570316731522	0.0	0.3655031736400822	1547.0	1575.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00156_146	inner membrane protein YfcA	0.35339583694947835	0.35781462256716384	0.0	0.3047971687383684	1394.0	1531.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00157_147	peptidoglycan amidase MepA	0.11448968976685306	0.1149411113682655	0.0	0.3900567661206408	1807.0	1737.0	True	False	False	False	True	False
CP003496.1_prot_D7S_00158_148	chorismate synthase	0.252139483054451	0.25478619766222277	0.5	0.6143800259173524	681.0	1223.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00160_150	O-succinylbenzoate-CoA ligase	0.03423281819641654	0.03276890492326582	0.0	0.04902065892461057	1942.0	1998.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00161_151	protein SeqA	0.3062880548894607	0.30576756459895515	0.5	0.7383276790930265	593.0	936.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00162_152	esterase YbfF	0.4682648569934599	0.47072740977014454	0.0	0.02889199265512956	1203.0	1744.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00163_153	flavodoxin	0.715271421704708	0.7173903716515598	0.0	0.10689815770972558	758.0	1310.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00164_154	ferric uptake regulation protein	0.8706280204993067	0.8677093683536645	0.0	0.4430527567685451	480.0	473.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00166_156	acetyl-CoA carboxylase subunit beta	0.755038412296308	0.7543481005959627	0.0	0.9456349929868587	677.0	117.0	False	True	False	True	False	True
CP003496.1_prot_D7S_00167_157	translation initiation factor Sui1	0.8507098479847197	0.8518741989259464	0.5	0.9255626105951014	115.0	59.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00168_158	orotidine 5'-phosphate decarboxylase	0.2227073217108197	0.22363198468631615	0.0	0.07265589583963969	1629.0	1930.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00169_159	tetratricopeptide domain protein	0.8056931570998167	0.8080208042113772	0.0	0.05853669900812612	595.0	1230.0	False	True	False	False	False	True
CP003496.1_prot_D7S_00170_160	30S ribosomal protein S1	0.9612462872314553	0.9611898828673331	0.0	0.8030652421676457	328.0	65.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00171_161	integration host factor subunit beta	0.9045957061317085	0.905876956265434	0.5	0.8814768807171719	93.0	55.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00172_162	ribosomal protein S1	0.9738087028769591	0.9746842159651324	1.0	0.9612557076740165	6.0	4.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00173_163	cytidylate kinase	0.11376501228268165	0.1142638758890981	0.0	0.4286115490658577	1809.0	1681.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00174_164	coproporphyrinogen III oxidase	0.43353717672208586	0.4337069213717018	0.0	0.20011088021368564	1260.0	1577.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00177_167	branched-chain amino acid transport protein AzlD	0.8458294655742702	0.8463312078503265	0.0	0.30140913921461543	526.0	736.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00178_168	azaleucine resistance protein AzlC	0.21282244856399263	0.21233247813262973	0.0	0.14624125881747013	1642.0	1876.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00179_169	HTH-type transcriptional regulator MetR	0.8792106910424363	0.8778258901078825	0.0	0.34885909355350364	468.0	595.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00181_171	crispr-associated protein Cas2	0.9723447311724747	0.972338934782824	0.0	0.8727376619120585	311.0	37.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00182_172	CRISPR-associated protein Cas1	0.5666348072866509	0.5658733900854042	0.0	0.5706871610841788	1031.0	758.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00184_173	hypothetical protein	0.9015525131942758	0.9013701354128374	0.0	0.8194512741026265	426.0	96.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00185_174	CRISPR-associated protein Cas4	0.5882258056438441	0.5890067270613945	0.0	0.7026656965239575	1002.0	505.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00186_175	CRISPR-associated Csd2 family protein	0.33555786614977134	0.3364797258684801	0.5	0.7683076620504727	545.0	830.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00187_176	CRISPR-associated RAMP Csd1 family protein	0.30164405320955	0.2978887268154702	0.0	0.9859405854967292	1495.0	517.0	False	True	False	True	False	True
CP003496.1_prot_D7S_00188_177	CRISPR-associated Cas5 family protein	0.05519791182122131	0.05522757547240268	0.0	0.7386679481130041	1898.0	1360.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00192_180	putative transcriptional regulator	0.9034222676997736	0.903080923233837	0.5	0.8006540553154928	94.0	115.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00193_181	diaminopimelate decarboxylase	0.6551046524525446	0.6570984180514541	0.0	0.2779421317172038	870.0	1114.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00195_182	peptide chain release factor 3	0.9023799401730345	0.9016543687262502	0.0	0.6600701564863092	421.0	222.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00196_183	WcaG protein	0.5391599582398706	0.5410886509418524	0.0	0.13460545960262607	1085.0	1511.0	False	False	False	False	False	False
